,,,,,,,,,,,,,,,,,24566,Communication patterns,communication requirements,,,,,,,,,
,,,,,,,,,,,,,,,,,24566,Communication patterns,normalized degree of centrality,,,,,,,,,
,,,,,,,,,,,,,,,,,24567,Productivity,perceived productivity,,,,,,,,,
,6789,,,,,,,Hypothesis 2E,"The better the fit between the level of advanced communication technology available and the communication requirements, the higher the perceived performance reported by telecommuters.",level of advanced communication technology available,communication requirements,perceived performance,,,,,24565,Availability of communication technologies,level of advanced communication technology available,Moderator,24566,24565,24568,,No,Positive,,
,,,,,,,,,,,,,,,,,24566,Communication patterns,communication requirements,,,,,,,,,
,,,,,,,,,,,,,,,,,24568,Performance,perceived performance,,,,,,,,,
,6789,,,,,,,Hypothesis 3E,"The better the fit between the level of advanced communication technology available and the communication requirements, the higher the perceived satisfaction with the work environment reported by telecommuters.",level of advanced communication technology available,communication requirements,perceived satisfaction with the work environment,,,,,24565,Availability of communication technologies,level of advanced communication technology available,Moderator,24566,24565,24569,,No,Positive,,
,,,,,,,,,,,,,,,,,24566,Communication patterns,communication requirements,,,,,,,,,
,,,,,,,,,,,,,,,,,24569,Satisfaction,perceived satisfaction with the work environment,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,6790,,,Heather,Jocelyn,Victoria,,Hypothesis 1,Higher perceived benefits will lead to greater intent to adopt EDI.,perceived benefits,intent to adopt EDI,,,,,,24687,Perceived benefits,perceived benefits,Regular,24687,,24689,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24689,Intent to adopt,intent to adopt EDI,,,,,,,,,
,6790,,,,,,,Hypothesis 2,Higher external pressure will lead to greater intent to adopt EDI.,external pressure,intent to adopt EDI,,,,,,24681,Competitive pressure,external pressure,Regular,24681,,24689,,1.00E-03,Positive,,
,6790,,,,,,,,,,,,,,,,24682,Dependency on trading partner,external pressure,Regular,24682,,24689,,1.00E-03,Positive,,
,6790,,,,,,,,,,,,,,,,24683,Enacted trading partner power,external pressure,Regular,24683,,24689,,1.00E-03,Positive,,
,6790,,,,,,,,,,,,,,,,24684,Industry pressure,external pressure,Regular,24684,,24689,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24689,Intent to adopt,intent to adopt EDI,,,,,,,,,
,6790,,,,,,,Hypothesis 3,Higher readiness will lead to greater intent to adopt EDI.,readiness,intent to adopt EDI,,,,,,24685,Financial resources,readiness,Regular,24685,,24689,,1.00E-03,Positive,,
,6790,,,,,,,,,,,,,,,,24686,Information technology (IT) sophistication,readiness,Regular,24686,,24689,,1.00E-03,Positive,,
,6790,,,,,,,,,,,,,,,,24688,Trading partner readiness,readiness,Regular,24688,,24689,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24689,Intent to adopt,intent to adopt EDI,,,,,,,,,
ISR,6791,,,Jocelyn,Lauren,Victoria,,Hypothesis 1a,Intuitor-Feelers (NF) will generate more novel and more paradigm-modifying ideas than Sensor-Thinkers (ST).,Intuitor-Feelers,NF,novel,paradigm-modifying ideas,Sensor-Thinkers,ST,,24572,Personality type,Intuitor-Feelers,Regular,24572,,24576,,No,Positive,,
,6791,,,,,,,,,,,,,,,,24572,Personality type,NF,Regular,24572,,24577,,2.40E-02,Positive,,
,,,,,,,,,,,,,,,,,24576,Number of novel ideas,novel,,,,,,,,,
,,,,,,,,,,,,,,,,,24577,Number of paradigm-modifying ideas,paradigm-modifying ideas,,,,,,,,,
,,,,,,,,,,,,,,,,,24572,Personality type,Sensor-Thinkers,,,,,,,,,
,,,,,,,,,,,,,,,,,24572,Personality type,ST,,,,,,,,,
,6791,,,,,,,Hypothesis 1b,Innovators will generate more novel and more paradigm-modifying ideas than adaptors.,Innovators,novel,paradigm-modifying ideas,adaptors,,,,24573,Creativity style,Innovators,Regular,24573,,24576,,2.60E-02,Positive,,
,6791,,,,,,,,,,,,,,,,24576,Number of novel ideas,novel,Regular,24573,,24577,,3.40E-02,Positive,,
,,,,,,,,,,,,,,,,,24577,Number of paradigm-modifying ideas,paradigm-modifying ideas,,,,,,,,,
,,,,,,,,,,,,,,,,,24573,Creativity style,adaptors,,,,,,,,,
,6791,,,,,,,Hypothesis 2,The use of intuitive groupware-based creativity techniques will promote the generation of more novel and paradigm-modifying ideas than the use of analytical groupware-based creativity techniques.,use of intuitive groupware-based creativity techniques,novel,paradigm-modifying ideas,analytical groupware-based creativity techniques,,,,24574,Creativity technique,use of intuitive groupware-based creativity techniques,Regular,24574,,24576,,3.00E-03,Positive,,
,6791,,,,,,,,,,,,,,,,24576,Number of novel ideas,novel,Regular,24574,,24577,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24577,Number of paradigm-modifying ideas,paradigm-modifying ideas,,,,,,,,,
,,,,,,,,,,,,,,,,,24574,Creativity technique,analytical groupware-based creativity techniques,,,,,,,,,
,6791,,,,,,,Hypothesis 3,Individuals exposed to more novel and paradigm-modifying ideas will generate more novel and paradigm-modifying ideas.,Individuals exposed to more novel,paradigm-modifying ideas,generate more novel,paradigm-modifying ideas,,,,24575,Stimuli from other participants,Individuals exposed to more novel,Regular,24575,,24576,,No,Positive,,
,6791,,,,,,,,,,,,,,,,24575,Stimuli from other participants,paradigm-modifying ideas,Regular,24575,,24577,,5.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24576,Number of novel ideas,generate more novel,,,,,,,,,
,,,,,,,,,,,,,,,,,24577,Number of paradigm-modifying ideas,paradigm-modifying ideas,,,,,,,,,
,6791,,,,,,,Hypothesis 4,Individuals exposed to ideas that conform to the groupware-based creativity technique will be more likely to generate ideas that conform to the technique.,Individuals exposed to ideas that conform to the groupware-based creativity technique,ideas that conform to the technique,,,,,,24575,Stimuli from other participants,Individuals exposed to ideas that conform to the groupware-based creativity technique,Mediator,24575,24574,24576,,No,Negative,,
,6791,,,,,,,,,,,,,,,,24576,Number of novel ideas,ideas that conform to the technique,Mediator,24575,24574,24577,,No,Negative,,
,,,,,,,,,,,,,,,,,24577,Number of paradigm-modifying ideas,ideas that conform to the technique,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,6792,,,Jocelyn,Lauren,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6793,,,Kerry,Jocelyn,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6794,,,Kerry,Jocelyn,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6795,,,Jocelyn,Lauren,Victoria,,Hypothesis 1a,Shopping enjoyment is positively related to intention to return.,Shopping enjoyment,intention to return,,,,,,24590,Shopping enjoyment,Shopping enjoyment,Regular,24590,,24589,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24589,Customer retention,intention to return,,,,,,,,,
,6795,,,,,,,Hypothesis 1b,Perceived control is positively related to intention to return.,Perceived control,intention to return,,,,,,24591,Perceived control,Perceived control,Regular,24591,,24589,,No,Positive,,
,,,,,,,,,,,,,,,,,24589,Customer retention,intention to return,,,,,,,,,
,6795,,,,,,,Hypothesis 1c,Concentration is positively related to intention to return.,Concentration,intention to return,,,,,,24592,Concentration/attention focus,Concentration,Regular,24592,,24589,,No,Positive,,
,,,,,,,,,,,,,,,,,24589,Customer retention,intention to return,,,,,,,,,
,6795,,,,,,,Hypothesis 2a,Perceived usefulness of the Web store is positively related to intention to return.,Perceived usefulness of the Web store,intention to return,,,,,,24593,Perceived usefulness,Perceived usefulness of the Web store,Regular,24593,,24589,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24589,Customer retention,intention to return,,,,,,,,,
,6795,,,,,,,Hypothesis 2b,Perceived ease of use of the Web store is positively related to intention to return.,Perceived ease of use of the Web store,intention to return,,,,,,24594,Perceived ease of use,Perceived ease of use of the Web store,Regular,24594,,24589,,No,Positive,,
,,,,,,,,,,,,,,,,,24589,Customer retention,intention to return,,,,,,,,,
,6795,,,,,,,Hypothesis 3a,Consumers with higher shopping enjoyment are more likely to make unplanned purchases.,shopping enjoyment,unplanned purchases,,,,,,24590,Shopping enjoyment,shopping enjoyment,Regular,24590,,24595,,No,Positive,,
,,,,,,,,,,,,,,,,,24595,Unplanned purchases,unplanned purchases,,,,,,,,,
,6795,,,,,,,Hypothesis 3b,Consumers with higher perceived control are less likely to make unplanned purchases.,perceived control,unplanned purchases,,,,,,24591,Perceived control,perceived control,Regular,24591,,24595,,No,Negative,,
,,,,,,,,,,,,,,,,,24595,Unplanned purchases,unplanned purchases,,,,,,,,,
,6795,,,,,,,Hypothesis 3c,Consumers with higher concentration are more likely to make unplanned purchases.,concentration,unplanned purchases,,,,,,24592,Concentration/attention focus,concentration,Regular,24592,,24595,,No,Negative,,
,,,,,,,,,,,,,,,,,24595,Unplanned purchases,unplanned purchases,,,,,,,,,
,6795,,,,,,,Hypothesis 4a,Product involvement is positively related to shopping enjoyment.,Product involvement,shopping enjoyment,,,,,,24596,Product involvement,Product involvement,Regular,24596,,24590,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24590,Shopping enjoyment,shopping enjoyment,,,,,,,,,
,6795,,,,,,,Hypothesis 4b,Product involvement is positively related to concentration.,Product involvement,concentration,,,,,,24596,Product involvement,Product involvement,Regular,24596,,24592,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24592,Concentration/attention focus,concentration,,,,,,,,,
,6795,,,,,,,Hypothesis 5a,Perceived skills are positively related to perceived control.,Perceived skills,perceived control,,,,,,24597,Web skills,Perceived skills,Regular,24597,,24591,,No,Positive,,
,,,,,,,,,,,,,,,,,24591,Perceived control,perceived control,,,,,,,,,
,6795,,,,,,,Hypothesis 5b,Perceived skills are positively related to shopping enjoyment.,Perceived skills,shopping enjoyment,,,,,,24597,Web skills,Perceived skills,Regular,24597,,24590,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24590,Shopping enjoyment,shopping enjoyment,,,,,,,,,
,6795,,,,,,,Hypothesis 5c,Perceived skills are positively related to concentration.,Perceived skills,concentration,,,,,,24597,Web skills,Perceived skills,Regular,24597,,24592,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24592,Concentration/attention focus,concentration,,,,,,,,,
,6795,,,,,,,Hypothesis 6a,The use of value-added search mechanisms is positively related to perceived control.,use of value-added search mechanisms,perceived control,,,,,,24598,Product search mechanisms,use of value-added search mechanisms,Regular,24598,,24591,,No,Positive,,
,,,,,,,,,,,,,,,,,24591,Perceived control,perceived control,,,,,,,,,
,6795,,,,,,,Hypothesis 6b,The use of value-added search mechanisms is positively related to shopping enjoyment.,use of value-added search mechanisms,shopping enjoyment,,,,,,24598,Product search mechanisms,use of value-added search mechanisms,Regular,24598,,24590,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24590,Shopping enjoyment,shopping enjoyment,,,,,,,,,
,6795,,,,,,,Hypothesis 6c,The use of value-added search mechanisms will be positively related to concentration.,use of value-added search mechanisms,concentration,,,,,,24598,Product search mechanisms,use of value-added search mechanisms,Regular,24598,,24592,,No,Positive,,
,,,,,,,,,,,,,,,,,24592,Concentration/attention focus,concentration,,,,,,,,,
,6795,,,,,,,Hypothesis 7a,The level of challenges of a Web store is positively related to perceived control.,level of challenges of a Web store,perceived control,,,,,,24599,Challenges,level of challenges of a Web store,Regular,24599,,24591,,No,Positive,,
,,,,,,,,,,,,,,,,,24591,Perceived control,perceived control,,,,,,,,,
,6795,,,,,,,Hypothesis 7b,The level of challenges of a Web store is positively related to shopping enjoyment.,level of challenges of a Web store,shopping enjoyment,,,,,,24599,Challenges,level of challenges of a Web store,Regular,24599,,24590,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24590,Shopping enjoyment,shopping enjoyment,,,,,,,,,
,6795,,,,,,,Hypothesis 7c,The level of challenges of a Web store is positively related to concentration.,level of challenges of a Web store,concentration,,,,,,24599,Challenges,level of challenges of a Web store,Regular,24599,,24592,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24592,Concentration/attention focus,concentration,,,,,,,,,
ISR,6796,,,Jocelyn,Lauren,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6797,,,Jocelyn,Lauren,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6798,,,Kerry,Jocelyn,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6799,,,Jocelyn,Lauren,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6800,,,Jocelyn,Leslie,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6801,,,Lauren,Jocelyn,Victoria,,Hypothesis 1,There are no significant differences in measured switching costs across firms.,switching costs,firms,,,,,,54096,Switching costs,switching costs,Regular,60733,,54096,,No,No effect,,
,,,,,,,,,,,,,,,,,60733,Firm,firms,,,,,,,,,
,6801,,,,,,,Hypothesis 2,There are no significant differences in measured switching costs across firms after controlling for customer characteristics.,switching costs,firms,customer characteristics,,,,,54096,Switching costs,switching costs,Moderator,60733,24669,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,60733,Firm,firms,Moderator,60733,24671,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24669,Age,customer characteristics,Moderator,60733,24673,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24670,Gender,customer characteristics,Moderator,60733,24670,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24671,Race,customer characteristics,Moderator,60733,24674,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24673,Education,customer characteristics,Moderator,60733,24675,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24674,Market size,customer characteristics,Moderator,60733,54095,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24675,Marital status,customer characteristics,Moderator,60733,24667,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,54095,Occupation,customer characteristics,Moderator,60733,60732,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24667,Web site usage,customer characteristics,Moderator,60733,24676,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,60732,Change in usage,customer characteristics,Moderator,60733,54094,54096,,No,No effect,,
,6801,,,,,,,,,,,,,,,,24676,Number of brokers,customer characteristics,Moderator,60733,24672,54096,,No,No effect,,
,,,,,,,,,,,,,,,,,54094,Household size,customer characteristics,,,,,,,,,
,,,,,,,,,,,,,,,,,24672,Household income,customer characteristics,,,,,,,,,
,6801,,,,,,,Hypothesis 3a,Use of multiple brokers is positively correlated with switching.,Use of multiple brokers,switching,,,,,,24676,Number of brokers,Use of multiple brokers,Regular,24677,,24680,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24680,Switching,switching,,,,,,,,,
,6801,,,,,,,Hypothesis 3b,Changes in usage patterns is positively correlated with switching.,Changes in usage patterns,switching,,,,,,60732,Change in usage,Changes in usage patterns,Regular,60732,,24680,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24680,Switching,switching,,,,,,,,,
,6801,,,,,,,Hypothesis 3c,High volume of Web site usage is negatively correlated with switching.,Web site usage,switching,,,,,,24667,Web site usage,Web site usage,Regular,24667,,24680,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24680,Switching,switching,,,,,,,,,
,6801,,,,,,,Hypothesis 4a,Switching is negatively correlated with Web site personalization.,Switching,Web site personalization,,,,,,24680,Switching,Switching,Regular,24666,,24680,,No,Negative,,
,,,,,,,,,,,,,,,,,24666,Personalization,Web site personalization,,,,,,,,,
,6801,,,,,,,Hypothesis 4b,Switching is positively correlated with Web site ease of use.,Switching,Web site ease of use,,,,,,24680,Switching,Switching,Regular,24665,,24680,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24665,Ease of use,Web site ease of use,,,,,,,,,
,6801,,,,,,,Hypothesis 4c,Switching is negatively correlated with Web site quality.,Switching,Web site quality,,,,,,24680,Switching,Switching,Regular,24664,,24680,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24664,Quality,Web site quality,,,,,,,,,
,6801,,,,,,,Hypothesis 4d,Switching is negatively correlated with breadth of offerings.,Switching,breadth of offerings,,,,,,24680,Switching,Switching,Regular,24677,,24680,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24677,Resources,breadth of offerings,,,,,,,,,
,6801,,,,,,,Hypothesis 4e,Switching is not related to cost.,Switching,cost,,,,,,24680,Switching,Switching,Regular,24678,,24680,,0.05,No effect,,
,,,,,,,,,,,,,,,,,24678,Cost,cost,,,,,,,,,
,6801,,,,,,,Hypothesis 5a,Use of multiple brokers is negatively correlated with attrition.,Use of multiple brokers,attrition,,,,,,24676,Number of brokers,Use of multiple brokers,Regular,24677,,24668,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24668,Customer attrition,attrition,,,,,,,,,
,6801,,,,,,,Hypothesis 5b,High volume of Web site usage is negatively correlated with attrition.,Web site usage,attrition,,,,,,24667,Web site usage,Web site usage,Regular,24667,,24668,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24668,Customer attrition,attrition,,,,,,,,,
,6801,,,,,,,Hypothesis 6a,Customer attrition is negatively correlated with Web site personalization.,Customer attrition,Web site personalization,,,,,,24668,Customer attrition,Customer attrition,Regular,24666,,24668,,No,Negative,,
,,,,,,,,,,,,,,,,,24666,Personalization,Web site personalization,,,,,,,,,
,6801,,,,,,,Hypothesis 6b,Customer attrition is negatively correlated with Web site quality.,Customer attrition,Web site quality,,,,,,24668,Customer attrition,Customer attrition,Regular,24664,,24668,,No,Negative,,
,,,,,,,,,,,,,,,,,24664,Quality,Web site quality,,,,,,,,,
,6801,,,,,,,Hypothesis 6c,Customer attrition is negatively correlated with breadth of offerings.,Customer attrition,breadth of offerings,,,,,,24668,Customer attrition,Customer attrition,Regular,24677,,24668,,No,Negative,,
,,,,,,,,,,,,,,,,,24677,Resources,breadth of offerings,,,,,,,,,
,6801,,,,,,,Hypothesis 6d,Customer attrition is negatively correlated with Web site ease of use.,Customer attrition,Web site ease of use,,,,,,24668,Customer attrition,Customer attrition,Regular,24665,,24668,,No,Negative,,
,,,,,,,,,,,,,,,,,24665,Ease of use,Web site ease of use,,,,,,,,,
,6801,,,,,,,Hypothesis 6e,Customer attrition is not related to cost.,Customer attrition,cost,,,,,,24668,Customer attrition,Customer attrition,Regular,24678,,24668,,0.05,No effect,,
,,,,,,,,,,,,,,,,,24678,Cost,cost,,,,,,,,,
,6801,,,,,,,Hypothesis 6f,Customer attrition is negatively correlated with account minimums.,Customer attrition,account minimums,,,,,,24668,Customer attrition,Customer attrition,Regular,24679,,24668,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24679,Minimum deposit,account minimums,,,,,,,,,
ISR,6802,,,Lauren,Jocelyn,Victoria,,,,,,,,,,,,,,,,,,,,,,
ISR,6803,,,Heather,Jocelyn,Victoria,,Hypothesis 1,The cognitive learning outcome of a DL environment comprised of a Level-2 GSS will be higher than that of a Level-1 GSS.,cognitive learning outcome,DL environment comprised of a Level-2 GSS,Level-1 GSS,,,,,24776,Cognitive learning,cognitive learning outcome,Regular,24778,,24776,,0.01,Has effect,,
,6803,,,,,,,,,,,,,,,,24779,Level 2 group support system,DL environment comprised of a Level-2 GSS,Regular,24779,,24776,,0.01,Has effect,,
,,,,,,,,,,,,,,,,,24778,Level 1 group support system,Level-1 GSS,,,,,,,,,
,6803,,,,,,,Hypothesis 2,The perceived learning outcome of a DL environment comprised of a Level-2 GSS will be higher than that of a Level-1 GSS.,perceived learning outcome,DL environment comprised of a Level-2 GSS,Level-1 GSS,,,,,24774,Perceived subject-matter learning,perceived learning outcome,Regular,24778,,24774,,0.01,Has effect,,
,6803,,,,,,,,,,,,,,,,24775,Perceived skill development,perceived learning outcome,Regular,24779,,24774,,0.01,Has effect,,
,6803,,,,,,,,,,,,,,,,24779,Level 2 group support system,DL environment comprised of a Level-2 GSS,Regular,24778,,24775,,No,Has effect,,
,6803,,,,,,,,,,,,,,,,24778,Level 1 group support system,Level-1 GSS,Regular,24779,,24775,,No,Has effect,,
,6803,,,,,,,Hypothesis 3,Learners’ satisfaction will be higher in the DL environment comprised of the Level-2 GSS than that of a Level-1 GSS.,Learners’ satisfaction,DL environment comprised of the Level-2 GSS,Level-1 GSS,,,,,24777,Satisfaction with process,Learners’ satisfaction,Regular,24778,,24777,,No,Has effect,,
,6803,,,,,,,,,,,,,,,,24779,Level 2 group support system,DL environment comprised of the Level-2 GSS,Regular,24779,,24777,,No,Has effect,,
,,,,,,,,,,,,,,,,,24778,Level 1 group support system,Level-1 GSS,,,,,,,,,
ISR,6804,,,Lauren,Jocelyn,Victoria,,Hypothesis 1,"The higher the perceived argument quality of a message, the more useful the message will be perceived to be.",perceived argument quality of a message,useful the message will be perceived to be,,,,,,24900,Argument quality,perceived argument quality of a message,,24900,,24901,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24901,Usefulness,useful the message will be perceived to be,,,,,,,,,
,6804,,,,,,,Hypothesis 2,"The higher the perceived credibility of a message source, the more useful the message will be perceived to be.",perceived credibility of a message source,useful the message will be perceived to be,,,,,,24896,Competence-based,perceived credibility of a message source,,24896,,24901,,0.01,Positive,,
,6804,,,,,,,,,,,,,,,,24897,Trustworthiness-based,perceived credibility of a message source,,24897,,24901,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24901,Usefulness,useful the message will be perceived to be,,,,,,,,,
,6804,,,,,,,Hypothesis 3,Messages perceived to contain information of high usefulness will be associated with higher levels of information adoption than messages perceived to contain information of low usefulness.,Messages perceived to contain information of high usefulness,levels of information adoption,messages perceived to contain information of low usefulness,,,,,24901,Usefulness,Messages perceived to contain information of high usefulness,,24901,,24902,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24902,Information adoption,levels of information adoption,,,,,,,,,
,,,,,,,,,,,,,,,,,24901,Usefulness,messages perceived to contain information of low usefulness,,,,,,,,,
,6804,,,,,,,Hypothesis 4,"Usefulness will mediate the effects of source credibility on information adoption, and argument quality on information adoption.",Usefulness,source credibility,information adoption,argument quality,information adoption,,,24901,Usefulness,Usefulness,Mediator,24896,24901,24902,,0.01,Has effect,,
,6804,,,,,,,,,,,,,,,,24896,Competence-based,source credibility,Mediator,24897,24901,24902,,Partially supported .1,Has effect,,
,6804,,,,,,,,,,,,,,,,24897,Trustworthiness-based,source credibility,Mediator,24900,24901,24902,,Partially supported 0.1,Has effect,,
,,,,,,,,,,,,,,,,,24902,Information adoption,information adoption,,,,,,,,,
,,,,,,,,,,,,,,,,,24900,Argument quality,argument quality,,,,,,,,,
,,,,,,,,,,,,,,,,,24902,Information adoption,information adoption,,,,,,,,,
,6804,,,,,,,Hypothesis 5a,"The greater the recipient’s expertise in the topic of the message, the more argument quality affects perceived message usefulness.",recipient’s expertise in the topic of the message,argument quality,perceived message usefulness,,,,,24899,Expertise,recipient’s expertise in the topic of the message,Moderator,24900,24899,24901,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24900,Argument quality,argument quality,,,,,,,,,
,,,,,,,,,,,,,,,,,24901,Usefulness,perceived message usefulness,,,,,,,,,
,6804,,,,,,,Hypothesis 5b,"The greater the recipient’s expertise in the topic of the message, the less source credibility factors affect perceived message usefulness.",recipient’s expertise in the topic of the message,source credibility,perceived message usefulness,,,,,24899,Expertise,recipient’s expertise in the topic of the message,Moderator,24896,24899,24901,,No,Negative,,
,6804,,,,,,,,,,,,,,,,24896,Competence-based,source credibility,Moderator,24897,24899,24901,,No,Negative,,
,,,,,,,,,,,,,,,,,24897,Trustworthiness-based,source credibility,,,,,,,,,
,,,,,,,,,,,,,,,,,24901,Usefulness,perceived message usefulness,,,,,,,,,
,6804,,,,,,,Hypothesis 6a,"The greater the recipient’s involvement in the topic of the message, the more argument quality affects perceived message usefulness.",recipient’s involvement in the topic of the message,argument quality,perceived message usefulness,,,,,24898,Involvement,recipient’s involvement in the topic of the message,Moderator,24900,24898,24901,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24900,Argument quality,argument quality,,,,,,,,,
,,,,,,,,,,,,,,,,,24901,Usefulness,perceived message usefulness,,,,,,,,,
,6804,,,,,,,Hypothesis 6b,"The greater the recipient’s involvement in the topic of the message, the less source credibility factors affect perceived message usefulness.",recipient’s involvement in the topic of the message,source credibility,perceived message usefulness,,,,,24898,Involvement,recipient’s involvement in the topic of the message,Moderator,24896,24898,24901,,0.01,Negative,,
,6804,,,,,,,,,,,,,,,,24896,Competence-based,source credibility,Moderator,24897,24898,24901,,0.01,Negative,,
,,,,,,,,,,,,,,,,,24897,Trustworthiness-based,source credibility,,,,,,,,,
,,,,,,,,,,,,,,,,,24901,Usefulness,perceived message usefulness,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,6805,,,Jocelyn,Leslie,Victoria,,Hypothesis 1,Role overload is positively related to persistence of expectations.,Role overload,persistence of expectations,,,,,,24728,Role overload,Role overload,Regular,24728,,24727,,0.01,Positive,,
,,,,,,,,,,,,,,,,,24727,Persistent expectations,persistence of expectations,,,,,,,,,
,6805,,,,,,,Hypothesis 2,Strength of ties between client-managers and IT contractors is positively related to persistence of expectations.,Strength of ties between client-managers and IT contractors,persistence of expectations,,,,,,24729,Strength of ties,Strength of ties between client-managers and IT contractors,Regular,24729,,24727,,No,Positive,,
,,,,,,,,,,,,,,,,,24727,Persistent expectations,persistence of expectations,,,,,,,,,
,6805,,,,,,,Hypothesis 3,Level of trust in IT contractors is positively related to persistence of expectations.,Level of trust in IT contractors,persistence of expectations,,,,,,24730,Trust,Level of trust in IT contractors,Regular,24730,,24727,,No,Positive,,
,,,,,,,,,,,,,,,,,24727,Persistent expectations,persistence of expectations,,,,,,,,,
,6805,,,,,,,Hypothesis 4,Prior outsourcing experience with third-party vendors is negatively related to persistence of expectations.,Prior outsourcing experience with third-party vendors,persistence of expectations,,,,,,24731,Outsourcing experiences,Prior outsourcing experience with third-party vendors,Regular,24731,,24727,,0.05,Negative,,
,,,,,,,,,,,,,,,,,24727,Persistent expectations,persistence of expectations,,,,,,,,,
,6805,,,,,,,Hypothesis 5,Persistence of expectations is negatively related to the evaluation of contractor performance.,Persistence of expectation,contractor performance,,,,,,24727,Persistent expectations,Persistence of expectation,Regular,24727,,24732,,No,Negative,,
,,,,,,,,,,,,,,,,,24732,Contractor performance,contractor performance,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,6806,,,Jocelyn,Lauren,Victoria,,Hypothesis 1,Declarative knowledge will positively influence immediate task performance.,Declarative knowledge,immediate task performance,,,,,,24741,Declarative knowledge,Declarative knowledge,Regular,24741,,24743,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24743,Immediate task performance,immediate task performance,,,,,,,,,
,6806,,,,,,,Hypothesis 2,Post-training software self-efficacy will positively influence immediate task performance.,Post-training software self-efficacy,immediate task performance,,,,,,24742,Post-training software self-efficacy,Post-training software self-efficacy,Regular,24742,,24743,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24743,Immediate task performance,immediate task performance,,,,,,,,,
,6806,,,,,,,Hypothesis 3,Immediate task performance will positively influence delayed task performance.,Immediate task performance,delayed task performance,,,,,,24743,Immediate task performance,Immediate task performance,Regular,24743,,24744,,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,24744,Delayed task performance,delayed task performance,,,,,,,,,
,6806,,,,,,,Hypothesis 4,Declarative knowledge will positively influence delayed task performance.,Declarative knowledge,delayed task performance,,,,,,24741,Declarative knowledge,Declarative knowledge,Regular,24741,,24744,,No,Positive,,
,,,,,,,,,,,,,,,,,24744,Delayed task performance,delayed task performance,,,,,,,,,
,6806,,,,,,,Hypothesis 5,Post-training software self-efficacy will positively influence delayed task performance.,Post-training software self-efficacy,delayed task performance,,,,,,24742,Post-training software self-efficacy,Post-training software self-efficacy,Regular,24742,,24744,,0.05,Positive,,
,,,,,,,,,,,,,,,,,24744,Delayed task performance,delayed task performance,,,,,,,,,
